researcher,role,studies,institution,lab,institution_lab,full_address,Latitude,Longitude,notes
Brock Ferguson,,MB1,Strong Analytics,,,"330 N Wabash Ave. 23rd Floor. Chicago, IL 60611, US.",41.8886304,-87.6274989,
Miriam A Novack,,MB1,Northwestern University,,,"633 Clark St, Evanston, IL 60208, United States",42.0506265,-87.6797271,
Sandra Waxman,,MB1,Northwestern University,,,"633 Clark St, Evanston, IL 60208, United States",42.0506265,-87.6797271,
Mihye Choi,,MB1,University of Massachusetts Boston,,,"University of Massachusetts Boston, 150 Mount Vernon St, Boston, MA 02125, USA",42.3144915,-71.0373279,
Mohinish Shukla,,MB1,University of Massachusetts Boston,,,"University of Massachusetts Boston, 150 Mount Vernon St, Boston, MA 02125, USA",42.3144915,-71.0373279,
Sara Cordes,,MB1,Boston College,,,"Boston College, 140 Commonwealth Ave, Newton, MA 02467, USA",42.3355488,-71.1684945,
Sophie Savelkouls,,MB1,Boston College,,,"Boston College, 140 Commonwealth Ave, Newton, MA 02467, USA",42.3355488,-71.1684945,
Melissa Kline,,MB1,Massachusetts Institute of Technology,,,"77 Massachusetts Ave, Cambridge, MA 02139, United States",42.3592444,-71.0931389,
Jonathan F. Kominsky,,MB1,Harvard University,,,"Cambridge, MA, United States",42.3736158,-71.1097335,
Jenny Saffran,,MB1,University of Wisconsin-Madison,,,"University of Wisconsin-Madison, West Gilman St, Madison, WI 53703, USA",43.0753906,-89.3921809,
Martin Zettersten,,MB1,University of Wisconsin-Madison,,,"University of Wisconsin-Madison, West Gilman St, Madison, WI 53703, USA",43.0753906,-89.3921809,
Haley E. Kragness,,MB1,McMaster University,,,"1280 Main St W, Hamilton, ON L8S 4L8, Canada",43.2622445,-79.9202861,
Laurel J. Trainor,,MB1,McMaster University,,,"1280 Main St W, Hamilton, ON L8S 4L8, Canada",43.2622445,-79.9202861,
Laura K. Cirelli,,MB1,University of Toronto Mississauga,,,"3359 Mississauga Rd, Mississauga, ON L5L 1C6, Canada",43.5482823,-79.6645141,
Sandra E. Trehub,,MB1,University of Toronto Mississauga,,,"3359 Mississauga Rd, Mississauga, ON L5L 1C6, Canada",43.5482823,-79.6645141,
Dare Baldwin,,MB1,University of Oregon,,,"1585 E 13th Ave, Eugene, OR 97403, United States",44.0459883,-123.0704296,
Jessica E. Kosie,,MB1,University of Oregon,,,"1585 E 13th Ave, Eugene, OR 97403, United States",44.0459883,-123.0704296,
Christopher Fennell,,MB1,University of Ottawa,,,"75 Laurier Ave E, Ottawa, ON K1N 6N5, Canada",45.4244969,-75.6864737,
Angeline Sin-Mei Tsui,,MB1,University of Ottawa,,,"75 Laurier Ave E, Ottawa, ON K1N 6N5, Canada",45.4244969,-75.6864737,
Krista Byers-Heinlein,,MB1,Concordia University,,,"FOFA Gallery, 1515 r Ste-Catherine Ouest, Montreal, QC H3H 2T2, Canada",45.4953889,-73.5781954,
Meghan Mastroberardino,,MB1,Concordia University,,,"FOFA Gallery, 1515 r Ste-Catherine Ouest, Montreal, QC H3H 2T2, Canada",45.4953889,-73.5781954,
Adriel John Orena,,MB1,McGill University,,,"McGill University, Chemin le Serpentin, Montreal, QC H3A 1A3, Canada",45.5025572,-73.5808286,
Linda Polka,,MB1,McGill University,,,"McGill University, Chemin le Serpentin, Montreal, QC H3A 1A3, Canada",45.5025572,-73.5808286,
Viola Macchi Cassia,,MB1,University of Milano-Bicocca,,,"Piazza della Scienza, 1, 20126 Milano MI, Italy",45.5131796,9.2108959,
Stefania Conte,,MB1,University of Milano-Bicocca,,,"Piazza della Scienza, 1, 20126 Milano MI, Italy",45.5131796,9.2108959,
Anja Gampe,,MB1,University of Zurich,,,"Rämistrasse 71, 8006 Zürich, Switzerland",47.3746043,8.5488515,
Stephanie Wermelinger,,MB1,University of Zurich,,,"Rämistrasse 71, 8006 Zürich, Switzerland",47.3746043,8.5488515,
Mikołaj Hernik,,MB1,Central European University,,,"Central European University, Budapest, Nádor u, 1051, Hungary",47.5005395,19.04958,
Bettina Braun,,MB1,University of Konstanz,,,"Konstanz, Baden-Württemberg, Germany",47.6779496,9.1732384,
Katharina Zahner,,MB1,University of Konstanz,,,"Konstanz, Baden-Württemberg, Germany",47.6779496,9.1732384,
Stéphanie Barbu,,MB1,Université de Rennes 1 - CNRS,,,"263 Avenue Général Leclerc, 35700 Rennes, France",48.1143217,-1.6406784,
Virginie Durier,,MB1,Université de Rennes 1 - CNRS,,,"263 Avenue Général Leclerc, 35700 Rennes, France",48.1143217,-1.6406784,
Chloé Leservoisier,,MB1,Université de Rennes 1 - CNRS,,,"263 Avenue Général Leclerc, 35700 Rennes, France",48.1143217,-1.6406784,
Markus Paulus,,MB1,Ludwig Maximilian University,,,"Geschwister-Scholl-Platz 1, 80539 München, Germany",48.1509185,11.5798609,
Carolina Pletti,,MB1,Ludwig Maximilian University,,,"Geschwister-Scholl-Platz 1, 80539 München, Germany",48.1509185,11.5798609,
Alejandrina Cristia,,MB1,"Laboratoire de Sciences Cognitives et Psycholinguistique, Dept d'Etudes Cognitives, ENS, PSL University, EHESS, CNRS",,,"54 Boulevard Raspail, 75006 Paris, France",48.8501757,2.3269332,
Naomi Havron,,MB1,"Laboratoire de Sciences Cognitives et Psycholinguistique, Dept d'Etudes Cognitives, ENS, PSL University, EHESS, CNRS",,,"54 Boulevard Raspail, 75006 Paris, France",48.8501757,2.3269332,
Thierry Nazzi,,MB1,Université Paris Descartes,,,"Université de Paris - Site de Saint-Germain-des-Près, 45 r des Saints-Pères, 75006 Paris, France",48.8553052,2.3318301,
Katie Von Holzen,,MB1,Université Paris Descartes,,,"Université de Paris - Site de Saint-Germain-des-Près, 45 r des Saints-Pères, 75006 Paris, France",48.8553052,2.3318301,
Judit Gervain,,MB1,Université Paris Descartes,,,"Université de Paris - Site de Saint-Germain-des-Près, 45 r des Saints-Pères, 75006 Paris, France",48.8553052,2.3318301,
Caterina Marino,,MB1,Université Paris Descartes,,,"Université de Paris - Site de Saint-Germain-des-Près, 45 r des Saints-Pères, 75006 Paris, France",48.8553052,2.3318301,
Gisa Aschersleben,,MB1,Saarland University,,,"66123 Saarbrücken, Germany",49.2489232,7.017559,
Andrea A.R. Krieger,,MB1,Saarland University,,,"66123 Saarbrücken, Germany",49.2489232,7.017559,
J. Kiley Hamlin,,MB1,University of British Columbia,,,"University of British Columbia, Sopron Lane, University Endowment Lands, BC V6T 1L9, Canada",49.2603572,-123.2473357,
Janet F. Werker,,MB1,University of British Columbia,,,"University of British Columbia, Sopron Lane, University Endowment Lands, BC V6T 1L9, Canada",49.2603572,-123.2473357,
Florian Krieger,,MB1,University of Luxembourg,,,"2, avenue de l'Université, 4365 Esch-sur-Alzette, Luxembourg",49.504553,5.948429,
Kelsey Klassen,,MB1,University of Manitoba,,,"University of Manitoba, Normand Park Dr, Winnipeg, MB R3T 2S9, Canada",49.8075008,-97.1366259,
Melanie Soderstrom,,MB1,University of Manitoba,,,"University of Manitoba, Normand Park Dr, Winnipeg, MB R3T 2S9, Canada",49.8075008,-97.1366259,
Caroline Floccia,,MB1,University of Plymouth,,,"Drake Circus, Plymouth PL4 8AA, United Kingdom",50.374697,-4.1376293,
Maximilian P. Böhland,,MB1,Technische Universität Dresden,,,"Technische Universität Dresden, Haeckelstraße, 01069 Dresden, Germany",51.0292734,13.7289964,
Christine Michel,,MB1,Max Planck Institute for Human Cognitive and Brain Sciences,,,"Stephanstraße 1a, 04103 Leipzig, Germany",51.3346436,12.3891418,
Graham Schafer,,MB1,University of Reading,,,"Reading, United Kingdom",51.4542645,-0.9781303,
Ryan Blything,,MB1,University of Bristol,,,"University of Bristol, Woodland Rd, Bristol BS2, UK",51.4584172,-2.6029792,
Nivedita Mani,,MB1,University of Goettingen,,,"Wilhelmsplatz 1, 37073 Göttingen, Germany",51.5340918,9.9378899,
Melanie S. Schreiner,,MB1,University of Goettingen,,,"Wilhelmsplatz 1, 37073 Göttingen, Germany",51.5340918,9.9378899,
